timestamp_ms,accX,accY,accZ,time_s,motion
1732147362126,-0.20159531,0.34097722,9.7914305,0.0,Stable
1732147362291,-0.19202402,0.33619159,9.8010015,0.165,Stable
1732147362509,-0.20638095,0.33619159,9.796216,0.383,Stable
1732147362727,-0.19202402,0.34097722,9.796216,0.601,Stable
1732147362946,-0.21116661,0.33140594,9.8057871,0.82,Stable
1732147363254,-0.21595225,0.34097722,9.796216,1.128,Stable
1732147363464,-0.22073789,0.35533416,9.8010015,1.338,Stable
1732147363624,-0.19680966,0.33140594,9.796216,1.498,Stable
1732147363820,-0.20638095,0.33619159,9.7914305,1.694,Stable
1732147364003,-0.20638095,0.33619159,9.8105726,1.877,Stable
1732147364210,-0.21116661,0.33140594,9.7818594,2.084,Stable
1732147364402,-0.20159531,0.33140594,9.796216,2.276,Stable
1732147364599,-0.20159531,0.33619159,9.7866449,2.473,Stable
1732147364841,-0.20638095,0.32662028,9.796216,2.715,Stable
1732147364982,-0.20638095,0.33619159,9.8010015,2.856,Stable
1732147365284,-0.21116661,0.34576288,9.7866449,3.158,Stable
1732147365443,-0.19680966,0.33619159,9.7866449,3.317,Stable
1732147365603,-0.18723837,0.34097722,9.796216,3.477,Stable
1732147365829,-0.20159531,0.33140594,9.8057871,3.703,Stable
1732147366089,-0.20638095,0.33140594,9.7866449,3.963,Stable
1732147366308,-0.20159531,0.33140594,9.7866449,4.182,Stable
1732147366450,-0.20638095,0.33619159,9.8057871,4.324,Stable
1732147366579,-0.21595225,0.35054851,9.8057871,4.453,Stable
1732147366743,-0.20638095,0.33140594,9.7914305,4.617,Stable
1732147366857,-0.20638095,0.33140594,9.796216,4.731,Stable
1732147367078,-0.20159531,0.34576288,9.7866449,4.952,Stable
1732147367230,-0.20638095,0.33140594,9.796216,5.104,Stable
1732147367348,-0.20159531,0.34576288,9.8057871,5.222,Stable
1732147367528,-0.22073789,0.34097722,9.7914305,5.402,Stable
1732147367675,-0.21595225,0.36490545,9.8249302,5.549,Stable
1732147367837,-0.20638095,0.30747771,9.8440723,5.711,Stable
1732147367991,-0.20817557,0.41694933,10.082158,5.865,Stable
1732147368124,-0.31166515,0.465404,9.775877,5.998,Stable
1732147368319,-0.17228323,0.2213361,9.796814,6.193,Stable
1732147368435,-0.25363919,0.20697916,9.734601,6.309,Stable
1732147368559,-0.21535404,0.17347965,9.7728863,6.433,Stable
1732147368713,-0.14356937,0.025124637,9.88834,6.587,Stable
1732147368892,0.035294134,-0.33858439,9.7950191,6.766,Stable
1732147369043,-0.26799613,0.2105684,10.573883,6.917,Stable
1732147369250,-0.019142581,0.36550367,9.7016993,7.124,Going Up
1732147369352,-0.20757736,0.4953143,9.1082792,7.226,Floating
1732147369444,-0.25603202,0.49471608,9.2135639,7.318,Floating
1732147369594,-0.46839502,0.48454657,9.5796652,7.468,Floating
1732147369747,-0.51266223,0.27816564,9.7998047,7.621,Floating
1732147369892,-0.27218357,0.025124637,9.7728863,7.766,Floating
1732147370084,-0.26081768,-0.18544376,9.5832548,7.958,Floating
1732147370284,-0.253041,-0.085543409,9.8021984,8.158,Floating
1732147370509,-0.26739794,0.077766739,9.806385,8.383,Floating
1732147370744,-0.25722843,0.029910283,9.7160559,8.618,Floating
1732147370975,-0.39720857,0.17766708,9.7573328,8.849,Floating
1732147371283,-0.21954148,0.087338023,9.7537432,9.157,Floating
1732147371657,-0.22313072,0.077766739,9.5485592,9.531,Floating
1732147371918,0.16869399,0.17467605,9.6604233,9.792,Floating
1732147372184,0.20877378,0.059222359,10.166505,10.058,Going Down
1732147372454,0.060418773,0.40857446,9.9738827,10.328,Going Down
1732147372772,0.090927258,0.36131623,9.7118692,10.646,Going Down
1732147373245,-0.26799613,0.3696911,9.7005033,11.119,Going Down
1732147373467,-0.20638095,0.32662028,9.8057871,11.341,Stable
1732147373648,-0.20159531,0.32183465,9.796216,11.522,Stable
1732147374105,-0.21535404,0.317049,9.7818594,11.979,Stable
1732147374298,-0.21116661,0.32183465,9.8057871,12.172,Stable
1732147374594,-0.19680966,0.33140594,9.796216,12.468,Stable
1732147374792,-0.21116661,0.33140594,9.8010015,12.666,Stable
1732147374995,-0.20638095,0.33140594,9.796216,12.869,Stable
1732147375215,-0.19621146,0.32183465,9.7818594,13.089,Stable
1732147375427,-0.20159531,0.33140594,9.7914305,13.301,Stable
1732147375663,-0.20638095,0.33619159,9.8010015,13.537,Stable
1732147375845,-0.2009971,0.33619159,9.7818594,13.719,Stable
1732147376068,-0.22013968,0.32183465,9.7914305,13.942,Stable
1732147376278,-0.23988047,0.32183465,9.796216,14.152,Stable
1732147376496,-0.58743799,-0.095712908,9.7908325,14.37,Stable
1732147376779,-0.29312077,0.15373886,9.9870434,14.653,Stable
1732147377034,-0.020937199,-0.20997019,10.333405,14.908,Stable
1732147377099,-0.48514479,0.19621146,10.091131,14.973,Stable
1732147377194,-0.24107689,-0.0041874396,10.231112,15.068,Stable
1732147377268,-0.27278179,0.2213361,9.7914305,15.142,Stable
1732147377400,-0.18125631,0.40857446,9.5623178,15.274,Going Up
1732147377639,-0.23629123,0.24586253,9.2476616,15.513,Floating
1732147377896,-0.61136621,0.062213387,9.70469,15.77,Floating
1732147378251,-0.38225341,0.17288144,9.7196455,16.125,Floating
1732147378449,-0.32901311,-0.061615184,9.7112703,16.323,Floating
1732147378631,-0.47258246,-0.0041874396,9.7196455,16.505,Floating
1732147378793,-0.3487539,0.011365907,8.9665051,16.667,Floating
1732147378981,-0.10648061,0.17467605,9.2626162,16.855,Floating
1732147379158,0.19920248,-0.24646074,9.5330057,17.032,Floating
1732147379363,0.36610186,0.13579269,10.219746,17.237,Going Down
1732147379537,0.29850462,0.063409798,10.420144,17.411,Going Down
1732147379619,0.51445687,-0.232702,10.503295,17.493,Going Down
1732147379700,0.43848476,-0.026919255,10.229915,17.574,Going Down
1732147379805,0.22013968,0.08793623,9.8422775,17.679,Stable
1732147379965,-0.028713871,0.025124637,9.9314108,17.839,Stable
1732147380132,-0.077168532,0.058624156,9.9840527,18.006,Stable
1732147380368,-0.11365908,0.034695927,9.6544409,18.242,Going Up
1732147380601,-0.43968117,0.40977088,7.9340014,18.475,Floating
1732147380743,-0.20638095,0.33140594,9.7914305,18.617,Floating
1732147380933,-0.20578274,0.33140594,9.7866449,18.807,Floating
1732147381163,-0.20638095,0.32662028,9.7914305,19.037,Floating
1732147381349,-0.20638095,0.34097722,9.7770729,19.223,Floating
1732147381531,-0.19202402,0.32662028,9.7866449,19.405,Floating
1732147381735,-0.20638095,0.34097722,9.7866449,19.609,Floating
1732147381950,-0.19680966,0.32662028,9.7914305,19.824,Floating
1732147382156,-0.19680966,0.32662028,9.7866449,20.03,Floating
1732147382372,-0.21116661,0.32662028,9.7866449,20.246,Floating
1732147382606,-0.20159531,0.33140594,9.7770729,20.48,Floating
1732147382795,-0.19202402,0.33140594,9.796216,20.669,Floating
1732147382955,-0.20159531,0.317049,9.7914305,20.829,Floating
1732147383119,-0.20638095,0.32662028,9.796216,20.993,Floating
1732147383313,-0.19621146,0.30747771,9.7818594,21.187,Floating
1732147383534,-0.21116661,0.32662028,9.7914305,21.408,Floating
1732147383744,-0.21535404,0.317049,9.7818594,21.618,Floating
1732147383959,0.26799613,0.30867413,9.7698946,21.833,Floating
1732147384176,-0.15254244,0.049052864,9.7686987,22.05,Floating
1732147384371,-0.053240303,-0.53659046,11.059627,22.245,Going Down
1732147384560,-0.16570297,0.43549371,10.969895,22.434,Going Down
1732147384801,-0.35533416,0.38823548,9.857233,22.675,Stable
1732147384952,-0.30568311,0.66221368,9.4654083,22.826,Going Up
1732147385093,-0.75314093,0.39780676,9.1585283,22.967,Floating
1732147385252,-0.45822555,0.1585245,9.5952187,23.126,Floating
1732147385401,-0.39182472,0.43190449,9.5228357,23.275,Floating
1732147385568,-0.54436713,0.59940207,9.4121675,23.442,Floating
1732147385799,-0.74775708,0.6125626,9.7591276,23.673,Floating
1732147385979,-0.67716879,-0.057427742,9.5377913,23.853,Floating
1732147386108,-0.59162539,-0.095712908,9.6813602,23.982,Floating
1732147386292,-0.74775708,0.23389842,9.9415798,24.166,Going Down
1732147386372,-0.73160553,0.22492532,9.6173525,24.246,Going Down
1732147386411,-0.59222358,0.12502499,9.6233349,24.285,Going Down
1732147386542,-0.37806597,-0.14237295,9.1292162,24.416,Going Down
1732147386758,-0.36849469,-0.0029910284,9.0807619,24.632,Going Down
1732147386939,-0.17048861,0.15613168,8.6614199,24.813,Going Down
1732147387107,0.73938221,0.47916272,8.4693956,24.981,Going Down
1732147387272,0.74895346,-0.44386861,11.3683,25.146,Going Down
1732147387705,0.28534409,0.52163535,11.544173,25.579,Going Down
1732147388014,-0.36131623,0.13519448,9.4528456,25.888,Going Down
1732147388233,-0.36909288,0.39421752,9.0221376,26.107,Going Down
1732147388442,-0.19202402,0.33619159,9.8105726,26.316,Stable
1732147388691,-0.20159531,0.33619159,9.8105726,26.565,Stable
1732147388876,-0.19680966,0.31226337,9.7914305,26.75,Stable
1732147389039,-0.20578274,0.317049,9.7818594,26.913,Stable
1732147389219,-0.19680966,0.33140594,9.8105726,27.093,Stable
1732147389486,-0.19202402,0.32183465,9.8057871,27.36,Stable
1732147389564,-0.19202402,0.33140594,9.8010015,27.438,Stable
1732147389672,-0.18723837,0.34576288,9.8010015,27.546,Stable
1732147389785,-0.19202402,0.34576288,9.796216,27.659,Stable
1732147389986,-0.20159531,0.35054851,9.796216,27.86,Stable
1732147390131,-0.18723837,0.36011982,9.8010015,28.005,Stable
1732147390501,-0.19680966,0.33619159,9.7770729,28.375,Stable
